Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-05-2020;244836;230855
02-05-2020;244446;228280
03-05-2020;245219;227027
04-05-2020;241473;228800
05-05-2020;241742;226398
06-05-2020;248575;231232
07-05-2020;249037;231024
08-05-2020;250516;230549
09-05-2020;250709;226173
10-05-2020;248862;226012
11-05-2020;250143;229811
12-05-2020;251153;229566
13-05-2020;250483;228094
14-05-2020;250771;226751
15-05-2020;252173;228954
16-05-2020;253273;224822
17-05-2020;250267;216952
18-05-2020;254079;226991
19-05-2020;256116;225171
20-05-2020;251935;226100
21-05-2020;246024;225595
22-05-2020;250181;227823
23-05-2020;251679;225382
24-05-2020;250428;218755
25-05-2020;254407;226546
26-05-2020;259237;226820
27-05-2020;258923;224419
28-05-2020;259442;223447
29-05-2020;257243;224144
30-05-2020;253242;216614
