Дата;Температура, °С
01-01-2020;-9.47
02-01-2020;-5.73
03-01-2020;-4.55
04-01-2020;-6.65
05-01-2020;-7.37
06-01-2020;-7.96
07-01-2020;-10.64
08-01-2020;-12.49
09-01-2020;-14.34
10-01-2020;-19.94
11-01-2020;-21.74
12-01-2020;-19.90
13-01-2020;-15.75
14-01-2020;-12.80
15-01-2020;-10.31
16-01-2020;-9.97
17-01-2020;-10.14
18-01-2020;-11.35
19-01-2020;-13.17
20-01-2020;-17.24
21-01-2020;-18.21
22-01-2020;-18.10
23-01-2020;-12.22
24-01-2020;-6.57
25-01-2020;-5.95
26-01-2020;-8.74
27-01-2020;-10.76
28-01-2020;-8.74
29-01-2020;-11.22
30-01-2020;-17.50
31-01-2020;-21.43
