Дата;Температура, °С
01-11-2014;-1.11
02-11-2014;-1.77
03-11-2014;2.47
04-11-2014;5.46
05-11-2014;3.30
06-11-2014;-1.36
07-11-2014;-1.73
08-11-2014;-1.34
09-11-2014;0.03
10-11-2014;2.93
11-11-2014;4.43
12-11-2014;3.88
13-11-2014;0.03
14-11-2014;-1.97
15-11-2014;-3.36
16-11-2014;-3.54
17-11-2014;-2.51
18-11-2014;-2.39
19-11-2014;-2.94
20-11-2014;-3.70
21-11-2014;-4.23
22-11-2014;-2.71
23-11-2014;-3.52
24-11-2014;-2.56
25-11-2014;-2.42
26-11-2014;-1.67
27-11-2014;-2.95
28-11-2014;-3.80
29-11-2014;-4.80
30-11-2014;-5.77
01-12-2014;-7.30
